range,x,y,z,intensity,ring,time,timestamp
25.000002,24.998209,0.2617904,0.14529786,34.0,21,-0.024484733,1782503088.2352924
24.996002,24.99497,0.17450048,0.1452746,100.0,21,-0.024429439,1782503088.2352924
24.991999,24.98787,0.3489143,0.29093397,61.0,22,-0.02706635,1782503088.335251
24.991999,24.98889,0.26605463,0.29093397,60.0,22,-0.027011054,1782503088.335251
24.987999,24.985634,0.18315095,0.2908874,60.0,22,-0.026955757,1782503088.335251
24.984003,24.977701,0.35314643,0.43603092,70.0,23,-0.026304558,1782503088.335251
24.980003,24.974737,0.27027726,0.43596113,73.0,23,-0.026249262,1782503088.335251
24.980003,24.975529,0.18309076,0.43596113,73.0,23,-0.026193967,1782503088.335251
24.996,24.992826,0.37080336,0.1452746,33.0,21,-0.024767857,1782503088.335251
25.000002,24.99797,0.28360522,0.14529786,34.0,21,-0.02471256,1782503088.335251
24.991999,24.990807,0.19628125,0.14525135,33.0,21,-0.024657264,1782503088.335251
24.996,24.991291,0.38822445,0.29098052,59.0,22,-0.02730252,1782503088.4365666
24.991999,24.98844,0.30530453,0.29093397,59.0,22,-0.027247224,1782503088.4365666
24.996,24.993391,0.21375503,0.29098052,59.0,22,-0.027168358,1782503088.4365666
24.996002,24.992287,0.40569943,0.1452746,33.0,21,-0.024963291,1782503088.4365666
24.992,24.98955,0.31840652,0.14525135,34.0,21,-0.024907995,1782503088.4365666
25.004,25.002508,0.23128591,0.1453211,33.0,21,-0.024852699,1782503088.4365666
24.988,24.98381,0.35323068,0.2908874,61.0,22,-0.027464595,1782503088.5360408
24.987999,24.98489,0.26601204,0.2908874,60.0,22,-0.027409298,1782503088.5360408
24.991999,24.989634,0.18318026,0.29093397,59.0,22,-0.027354002,1782503088.5360408
24.992002,24.985699,0.3532595,0.43617055,70.0,23,-0.026685875,1782503088.5360408
24.988003,24.982733,0.2703638,0.43610072,70.0,23,-0.026630579,1782503088.5360408
24.996002,24.991524,0.183208,0.43624035,73.0,23,-0.026575282,1782503088.5360408
24.996,24.993969,0.28355983,0.1452746,35.0,21,-0.025104163,1782503088.5360408
24.996,24.994806,0.19631267,0.1452746,34.0,21,-0.025048867,1782503088.5360408
24.995996,24.991356,0.38387486,0.29098052,59.0,22,-0.027674573,1782503088.6366534
24.996,24.989109,0.3925669,0.43624035,73.0,23,-0.026898475,1782503088.6366534
24.992002,24.986383,0.30092016,0.43617055,73.0,23,-0.02684318,1782503088.6366534
24.996,24.992426,0.39697552,0.1452746,100.0,21,-0.025370358,1782503088.6366534
24.996002,24.99366,0.30973318,0.1452746,33.0,21,-0.025315061,1782503088.6366534
24.992,24.99055,0.2268135,0.14525135,34.0,21,-0.025259765,1782503088.6366534
24.996,24.995188,0.13960086,0.1452746,100.0,21,-0.025195204,1782503088.6366534
24.992,24.989317,0.22245511,0.29093397,59.0,22,-0.02780853,1782503088.7364268
