calculated_range,x,y,z,intensity,ring,time,timestamp,cloud_index
25.000002,24.996649,0.28796425,0.2910271,100.0,22,-0.07920071,1782501560.5088558,9
25.012001,25.002048,0.554287,0.4365196,73.0,23,-0.07858812,1782501560.5088558,9
24.996,24.989313,0.37948343,0.43624035,59.0,23,-0.078477524,1782501560.5088558,9
24.996,24.990484,0.29224542,0.43624035,59.0,23,-0.07842223,1782501560.5088558,9
24.988003,24.983356,0.20493837,0.43610072,59.0,23,-0.078366935,1782501560.5088558,9
25.02,25.013237,0.5632621,0.14541408,100.0,21,-0.07706143,1782501560.5088558,9
25.004,24.99897,0.48000467,0.1453211,89.0,21,-0.07700613,1782501560.5088558,9
25.008,25.00456,0.38843772,0.14534435,96.0,21,-0.076951586,1782501560.5088558,9
25.000002,24.997766,0.3010568,0.14529786,96.0,21,-0.07689629,1782501560.5088558,9
25.004002,25.002628,0.21819486,0.1453211,100.0,21,-0.076841,1782501560.5088558,9
24.992,24.984734,0.5277144,0.29093397,52.0,22,-0.07954322,1782501560.6085255,10
25.003998,24.99842,0.44072706,0.29107368,100.0,22,-0.07948792,1782501560.6085255,10
24.991999,24.98793,0.34456542,0.29093397,100.0,22,-0.07943262,1782501560.6085255,10
24.988,24.984982,0.25729108,0.2908874,100.0,22,-0.07937733,1782501560.6085255,10
25.000002,24.990528,0.5322024,0.43631017,70.0,23,-0.0787552,1782501560.6085255,10
24.992002,24.984236,0.44482884,0.43617055,59.0,23,-0.0786999,1782501560.6085255,10
25.000004,24.993635,0.35772267,0.43631017,59.0,23,-0.0786446,1782501560.6085255,10
24.996,24.99073,0.27045035,0.43624035,59.0,23,-0.07858931,1782501560.6085255,10
25.008001,25.001629,0.54553753,0.14534435,93.0,21,-0.077228986,1782501560.6085255,10
25.015999,25.011377,0.45840874,0.14539084,100.0,21,-0.07717369,1782501560.6085255,10
25.008001,25.004827,0.3709814,0.14534435,100.0,21,-0.0771184,1782501560.6085255,10
