range,x,y,z,intensity,t,reflectivity,ring,ambient,timestamp
25116,25.11088,0.30151355,0.4436366,417.0,50738590,453,30,959,1782510862.411804
25119,25.115257,0.14744805,0.4436853,417.0,50835770,419,30,1208,1782510862.411804
25086,25.083748,0.2878843,0.20685089,360.0,50738590,476,31,30494,1782510862.411804
25108,25.107044,0.13408595,0.20700063,342.0,50835770,515,31,19340,1782510862.411804
25096,25.092262,0.14731283,0.443312,408.0,50829980,442,30,60463,1782510862.5112066
25125,25.121258,0.14748332,0.4437827,414.0,50818660,451,30,64801,1782510862.6099696
25097,25.094748,0.28801084,0.20692575,356.0,50721530,503,31,28031,1782510862.6099696
25111,25.110044,0.13410205,0.20702104,365.0,50798230,508,31,33934,1782510862.7139866
25087,25.081886,0.30116516,0.4431659,379.0,50692620,418,30,42158,1782510862.8093212
25092,25.088263,0.14728932,0.44324705,403.0,50789750,426,30,57325,1782510862.8093212
25077,25.074749,0.2877808,0.20678963,352.0,50692620,535,31,24978,1782510862.8093212
25076,25.075045,0.13391422,0.20678282,375.0,50789750,499,31,39625,1782510862.8093212
25112,25.106882,0.3014655,0.4435717,389.0,50683080,463,30,49320,1782510862.912549
25120,25.116259,0.14745393,0.44370154,418.0,50780150,436,30,1762,1782510862.912549
25104,25.098883,0.3013694,0.44344184,425.0,50682070,424,30,5909,1782510863.0115676
25114,25.110258,0.14741866,0.44360414,435.0,50779200,423,30,12430,1782510863.0115676
25111,25.108747,0.28817186,0.20702104,383.0,50682070,517,31,45236,1782510863.0115676
25106,25.105043,0.13407521,0.20698702,404.0,50779200,527,31,58317,1782510863.0115676
25106,25.100882,0.30139342,0.4434743,409.0,50703040,460,30,61195,1782510863.1102629
25109,25.105259,0.14738926,0.443523,396.0,50800020,451,30,53109,1782510863.1102629
25088,25.085749,0.2879073,0.20686449,374.0,50703040,488,31,39282,1782510863.1102629
25118,25.114258,0.14744218,0.44366905,422.0,50815350,462,30,4727,1782510863.2142506
25092,25.089748,0.28795332,0.20689172,359.0,50718220,507,31,29804,1782510863.2142506
25107,25.106043,0.13408059,0.20699382,385.0,50815350,494,31,46536,1782510863.2142506
25111,25.10588,0.3014535,0.44355544,423.0,50713980,437,30,4720,1782510863.3142612
25110,25.10626,0.14739515,0.4435392,413.0,50811090,445,30,63891,1782510863.3142612
25095,25.092749,0.28798783,0.20691215,381.0,50713980,534,31,43565,1782510863.3142612
25105,25.104044,0.13406985,0.20698021,400.0,50811090,513,31,55857,1782510863.3142612
25110,25.104881,0.3014415,0.4435392,415.0,50707050,468,30,121,1782510863.4100585
25083,25.082045,0.13395178,0.20683046,381.0,50804180,479,31,43636,1782510863.4100585
25094,25.088884,0.30124927,0.44327953,373.0,50690040,462,30,38897,1782510863.5132163
25103,25.09926,0.14735399,0.4434256,398.0,50787150,419,30,54425,1782510863.5132163
25103,25.100748,0.28807986,0.2069666,374.0,50690040,518,31,39400,1782510863.5132163
25113,25.107882,0.30147752,0.4435879,400.0,50682680,429,30,55842,1782510863.6088612
25128,25.124256,0.14750096,0.44383138,418.0,50779650,444,30,1892,1782510863.6088612
25093,25.092045,0.13400544,0.20689853,379.0,50779650,566,31,42102,1782510863.6088612
25125,25.119879,0.30162168,0.4437827,426.0,50678920,447,30,6863,1782510863.7111783
25134,25.130257,0.14753623,0.44392875,420.0,50775980,446,30,3270,1782510863.7111783
25099,25.096748,0.28803384,0.20693937,388.0,50678920,551,31,47954,1782510863.7111783
25112,25.111044,0.13410741,0.20702785,407.0,50775980,486,31,60555,1782510863.7111783
25138,25.132875,0.30177787,0.4439937,410.0,50711410,436,30,62621,1782510863.8113189
25136,25.132256,0.14754799,0.4439612,413.0,50808520,412,30,64617,1782510863.8113189
25091,25.090044,0.13399471,0.20688492,364.0,50808520,510,31,32922,1782510863.8113189
25107,25.104748,0.28812584,0.20699382,396.0,50751300,527,31,53289,1782510863.9094384
25101,25.100044,0.13404839,0.20695299,355.0,50848520,494,31,27517,1782510863.9094384
25120,25.117746,0.2882754,0.20708232,391.0,50760550,480,31,50645,1782510864.0077536
25116,25.115044,0.13412888,0.20705508,394.0,50857770,566,31,51993,1782510864.0077536
25107,25.101883,0.30140543,0.44349054,397.0,50762620,436,30,53792,1782510864.1141424
25127,25.123257,0.14749508,0.44381514,411.0,50859850,424,30,63086,1782510864.1141424
25089,25.086748,0.2879188,0.2068713,364.0,50762620,514,31,32859,1782510864.1141424
25129,25.128042,0.13419865,0.20714357,405.0,50859850,553,31,59263,1782510864.1141424
25115,25.10988,0.30150154,0.44362038,394.0,50758910,435,30,52055,1782510864.3116696
25095,25.094044,0.13401619,0.20691215,376.0,50856140,539,31,40389,1782510864.3116696
25112,25.10826,0.1474069,0.4435717,398.0,50846030,433,30,54544,1782510864.4080582
25082,25.07975,0.2878383,0.20682366,364.0,50740840,512,31,32746,1782510864.513019
25086,25.085045,0.13396788,0.20685089,358.0,50838070,516,31,29017,1782510864.513019
25124,25.120258,0.14747745,0.44376644,411.0,50819200,456,30,62849,1782510864.609066
25110,25.107746,0.28816035,0.20701425,373.0,50722410,545,31,38748,1782510864.609066
25095,25.09126,0.14730696,0.44329575,404.0,50779070,436,30,57961,1782510864.7123382
25109,25.108044,0.13409132,0.20700744,399.0,50779070,509,31,55324,1782510864.7123382
25122,25.116879,0.30158564,0.443734,377.0,50648840,452,30,41381,1782510864.8155227
25105,25.102747,0.28810287,0.20698021,364.0,50648840,488,31,33303,1782510864.8155227
25120,25.119043,0.13415036,0.20708232,387.0,50745850,523,31,47886,1782510864.8155227
25117,25.113258,0.14743629,0.44365284,403.0,50719260,425,30,57832,1782510864.911734
25100,25.097748,0.28804535,0.20694618,388.0,50622350,534,31,48076,1782510864.911734
25107,25.10326,0.1473775,0.44349054,401.0,50774140,455,30,56210,1782510865.1106071
25119,25.116745,0.2882639,0.2070755,399.0,50677010,503,31,55552,1782510865.1106071
25128,25.122877,0.30165774,0.44383138,417.0,50697790,426,30,1359,1782510865.2133577
25087,25.086044,0.13397326,0.20685768,371.0,50795750,470,31,37464,1782510865.310387
25084,25.083044,0.13395715,0.20683727,388.0,50800780,547,31,47698,1782510865.40991
