calculated_range,x,y,z,intensity,t,reflectivity,ring,ambient,range,timestamp
25.098946,25.089197,0.1649768,0.67972016,396.0,50775750,521,29,53149,25098,1782507047.2488213
25.106949,25.097738,0.011032709,0.6799254,411.0,50873650,575,29,62458,25106,1782507047.2488213
25.03995,25.030357,-0.14258221,0.6782066,187.0,50970920,586,29,52280,25039,1782507047.2488213
25.06861,25.064184,-0.16043994,0.44285753,101.0,50970920,596,30,63991,25068,1782507047.2488213
25.08295,25.071724,0.31871498,0.6793097,343.0,50693800,561,29,19259,25082,1782507047.3479738
25.116945,25.107191,0.16509497,0.6801819,381.0,50791680,561,29,43826,25116,1782507047.3479738
25.122948,25.113733,0.011039601,0.6803359,388.0,50889550,523,29,48567,25122,1782507047.3479738
25.10861,25.102882,0.30141747,0.44350675,422.0,50693800,588,30,4461,25108,1782507047.3479738
25.13061,25.124878,0.30168176,0.44386384,382.0,50707570,624,30,45015,25130,1782507047.449378
25.10361,25.09926,0.14735399,0.4434256,380.0,50805290,610,30,43298,25103,1782507047.449378
25.09461,25.090694,-0.0066526434,0.44327953,391.0,50903190,649,30,49854,25094,1782507047.449378
25.024609,25.020191,-0.16015872,0.44214335,103.0,51000560,601,30,64990,25024,1782507047.449378
25.10595,25.096739,0.011032278,0.67989975,377.0,50925930,574,29,41018,25105,1782507047.5467706
25.111948,25.102331,-0.14299284,0.68005365,174.0,51023290,613,29,44613,25111,1782507047.5467706
25.04461,25.040188,-0.16028655,0.442468,92.0,51023290,540,30,57901,25044,1782507047.5467706
25.066948,25.055729,0.31851178,0.6788993,332.0,50736680,513,29,12339,25066,1782507047.647511
25.082947,25.073204,0.16487177,0.6793097,403.0,50834410,582,29,57536,25082,1782507047.647511
25.087948,25.078743,0.011024524,0.679438,391.0,50932450,545,29,49647,25087,1782507047.647511
25.11361,25.109259,0.14741278,0.4435879,416.0,50834410,637,30,520,25113,1782507047.647511
25.04661,25.042189,-0.16029933,0.44250044,108.0,51029780,610,30,2659,25046,1782507047.647511
25.094948,25.083717,0.31886736,0.6796176,362.0,50738740,506,29,31745,25094,1782507047.7509677
25.11061,25.104881,0.3014415,0.4435392,389.0,50738740,597,30,49187,25110,1782507047.7509677
25.124609,25.12069,-0.006660333,0.44376644,410.0,50934460,637,30,62504,25124,1782507047.7509677
24.99261,24.988197,-0.15995419,0.441624,112.0,51031780,610,30,4859,24992,1782507047.7509677
25.11695,25.107735,0.011037016,0.6801819,394.0,50928830,554,29,52065,25116,1782507047.846195
25.10661,25.10226,0.14737163,0.4434743,391.0,50830840,619,30,50254,25106,1782507047.846195
25.09995,25.088717,0.31893083,0.67974585,307.0,50720820,551,29,62468,25099,1782507047.947851
25.103949,25.092714,0.31898162,0.67984843,319.0,50702190,527,29,4695,25103,1782507048.046989
25.115946,25.106192,0.1650884,0.6801563,370.0,50799870,544,29,36966,25115,1782507048.046989
25.051949,25.040735,0.31832132,0.6785145,305.0,50699740,536,29,60555,25051,1782507048.1462061
25.109945,25.100193,0.16504902,0.6800024,393.0,50797460,496,29,51603,25109,1782507048.1462061
25.104609,25.098883,0.3013694,0.44344184,409.0,50699740,590,30,61713,25104,1782507048.1462061
25.11661,25.112259,0.14743042,0.4436366,418.0,50797460,667,30,1680,25116,1782507048.1462061
25.11861,25.11469,-0.006658795,0.44366905,417.0,50895360,632,30,1272,25118,1782507048.1462061
25.03961,25.035189,-0.16025458,0.44238684,110.0,50992680,567,30,3479,25039,1782507048.1462061
25.111946,25.102194,0.16506214,0.68005365,389.0,50808720,531,29,48934,25111,1782507048.2507148
25.059948,25.05035,-0.14269628,0.6787197,158.0,51003990,631,29,34013,25059,1782507048.2507148
25.09061,25.086182,-0.16058055,0.4432146,113.0,51003990,593,30,6136,25090,1782507048.2507148
25.081947,25.070723,0.31870228,0.6792841,336.0,50711840,541,29,14952,25081,1782507048.3469617
25.094946,25.0852,0.16495055,0.6796176,408.0,50809530,522,29,60611,25094,1782507048.3469617
25.11961,25.11388,0.3015496,0.4436853,388.0,50711840,641,30,48492,25119,1782507048.3469617
25.10095,25.089716,0.31894353,0.6797715,363.0,50686650,548,29,32241,25100,1782507048.547793
25.139608,25.133875,0.30178988,0.4440099,420.0,50686650,587,30,3856,25139,1782507048.547793
25.12461,25.120258,0.14747745,0.44376644,405.0,50784280,634,30,59349,25124,1782507048.547793
25.113611,25.109692,-0.0066575133,0.4435879,403.0,50882170,594,30,58092,25113,1782507048.547793
25.066612,25.062185,-0.16042715,0.44282505,109.0,50979450,631,30,3279,25066,1782507048.547793
25.10161,25.095884,0.30133337,0.44339314,395.0,50690580,586,30,52852,25101,1782507048.652384
25.08161,25.077183,-0.16052303,0.44306853,92.0,50983480,602,30,58361,25081,1782507048.652384
25.096947,25.087198,0.16496368,0.6796689,390.0,50800970,561,29,49107,25096,1782507048.7505991
25.10361,25.097883,0.3013574,0.4434256,382.0,50703340,599,30,44619,25103,1782507048.7505991
25.09561,25.09126,0.14730696,0.44329575,403.0,50800970,610,30,57640,25095,1782507048.7505991
25.05661,25.052187,-0.16036324,0.44266275,101.0,50996240,589,30,63967,25056,1782507048.7505991
25.120947,25.109707,0.3191975,0.68028456,372.0,50730270,548,29,38289,25120,1782507048.8486607
25.119947,25.110733,0.011038308,0.6802589,386.0,50925940,602,29,47444,25119,1782507048.8486607
25.09761,25.093262,0.14731872,0.4433282,367.0,50828000,639,30,34850,25097,1782507048.8486607
25.10795,25.096712,0.31903243,0.6799511,359.0,50749830,507,29,30080,25107,1782507048.9496331
25.110947,25.101194,0.16505557,0.680028,366.0,50847560,557,29,34275,25110,1782507048.9496331
25.101948,25.09274,0.011030555,0.6797971,383.0,50945600,596,29,45237,25101,1782507048.9496331
25.09961,25.09526,0.14733048,0.4433607,410.0,50847560,623,30,62055,25099,1782507048.9496331
25.104612,25.100693,-0.0066552064,0.44344184,402.0,50945600,614,30,57170,25104,1782507048.9496331
24.99461,24.990196,-0.15996698,0.44165644,82.0,51042980,596,30,51742,24994,1782507048.9496331
25.112612,25.108692,-0.006657257,0.4435717,403.0,50958440,630,30,57880,25112,1782507049.0498338
25.08961,25.085182,-0.16057415,0.44319835,97.0,51055870,578,30,61678,25089,1782507049.0498338
25.08695,25.075722,0.31876576,0.67941236,345.0,50764780,562,29,20590,25086,1782507049.1478565
25.105608,25.099882,0.3013814,0.44345805,386.0,50764780,649,30,46909,25105,1782507049.1478565
25.026611,25.022192,-0.16017151,0.44217584,109.0,51057980,598,30,3240,25026,1782507049.1478565
25.113945,25.104193,0.16507527,0.680105,412.0,50862040,550,29,63380,25113,1782507049.3532183
25.106611,25.102694,-0.006655719,0.4434743,417.0,50960090,611,30,1151,25106,1782507049.3532183
25.035614,25.03119,-0.16022903,0.4423219,99.0,51057510,538,30,62257,25035,1782507049.3532183
25.141945,25.132183,0.16525908,0.68082327,390.0,50876830,538,29,50115,25141,1782507049.454397
25.127947,25.11873,0.011041754,0.68046415,387.0,50974870,548,29,47901,25127,1782507049.454397
25.108612,25.104692,-0.006656232,0.44350675,415.0,50974870,607,30,65480,25108,1782507049.454397
25.09595,25.084717,0.31888005,0.6796432,346.0,50794670,564,29,21365,25095,1782507049.5476754
25.08895,25.079744,0.011024956,0.6794636,385.0,50990590,564,29,45782,25088,1782507049.5476754
25.088612,25.084183,-0.16056776,0.44318214,89.0,51088120,580,30,56625,25088,1782507049.5476754
25.081945,25.072205,0.16486521,0.6792841,404.0,50883580,544,29,57713,25081,1782507049.6498678
25.096949,25.087742,0.011028402,0.6796689,398.0,50981130,496,29,54501,25096,1782507049.6498678
25.107609,25.10326,0.1473775,0.44349054,391.0,50883580,658,30,50056,25107,1782507049.6498678
24.94761,24.943203,-0.15966658,0.4408936,86.0,51079100,638,30,53810,24947,1782507049.6498678
25.099945,25.090197,0.16498336,0.67974585,377.0,50850430,588,29,41458,25099,1782507049.7537599
25.08261,25.076887,0.3011051,0.44308475,381.0,50752680,616,30,43493,25082,1782507049.7537599
25.088612,25.084696,-0.0066511054,0.44318214,391.0,50948400,634,30,49819,25088,1782507049.7537599
25.03361,25.02919,-0.16021624,0.44228944,87.0,51045730,596,30,55037,25033,1782507049.7537599
25.124947,25.115189,0.16514748,0.6803872,422.0,50826450,539,29,4434,25124,1782507049.8479695
25.095947,25.08674,0.01102797,0.6796432,376.0,50910110,539,29,40395,25095,1782507049.953557
25.100609,25.09626,0.14733635,0.4433769,392.0,50812160,650,30,50582,25100,1782507049.953557
25.10761,25.103693,-0.0066559757,0.44349054,384.0,50910110,603,30,45944,25107,1782507049.953557
25.111609,25.10588,0.3014535,0.44355544,400.0,50696900,683,30,55668,25111,1782507050.1524687
25.114609,25.110258,0.14741866,0.44360414,407.0,50794580,578,30,60718,25114,1782507050.1524687
25.09061,25.086695,-0.006651618,0.4432146,404.0,50892520,598,30,58229,25090,1782507050.1524687
25.09195,25.080719,0.31882924,0.67954063,342.0,50702320,527,29,18970,25091,1782507050.249626
25.099611,25.095694,-0.006653925,0.4433607,379.0,50897940,646,30,42400,25099,1782507050.249626
25.045612,25.04119,-0.16029294,0.4424842,106.0,50995270,623,30,1325,25045,1782507050.249626
25.085945,25.076202,0.16489147,0.6793867,387.0,50806310,510,29,47292,25085,1782507050.348608
25.080608,25.074888,0.30108106,0.4430523,403.0,50708630,592,30,57434,25080,1782507050.348608
