calculated_range,x,y,z,intensity,t,reflectivity,ring,ambient,range,timestamp,cloud_index
25.08861,25.077303,0.6089601,0.44318214,401.0,50511530,488,30,56266,25088,1782509298.0021174,140
25.080948,25.063925,0.62630963,0.6792584,363.0,50505040,408,29,32021,25080,1782509298.6035876,146
25.081608,25.070305,0.6087901,0.44306853,404.0,50532150,505,30,57925,25081,1782509298.8044755,148
25.08661,25.078568,0.45504093,0.4431497,399.0,50628300,450,30,54556,25086,1782509298.8044755,148
25.08961,25.078302,0.60898435,0.44319835,402.0,50538510,493,30,56899,25089,1782509298.906111,149
25.08961,25.081566,0.45509535,0.44319835,418.0,50634370,444,30,1073,25089,1782509298.906111,149
25.07761,25.062101,0.7624855,0.4430036,382.0,50453070,467,30,44220,25077,1782509299.0058827,150
25.078611,25.067307,0.60871726,0.44301984,379.0,50550250,459,30,41763,25078,1782509299.0058827,150
25.073948,25.052614,0.7798695,0.6790788,346.0,50484320,385,29,21335,25073,1782509300.1118846,161
25.077948,25.056612,0.77999383,0.67918146,365.0,50485860,418,29,33169,25077,1782509301.1045806,171
25.12061,25.112556,0.45565796,0.44370154,381.0,50679130,442,30,43917,25120,1782509301.1045806,171
25.079947,25.058609,0.78005606,0.6792328,390.0,50444230,320,29,48827,25079,1782509301.909049,179
25.078949,25.061926,0.6262597,0.6792071,385.0,50541540,371,29,46018,25078,1782509301.909049,179
25.08061,25.069305,0.60876584,0.4430523,382.0,50541540,476,30,44229,25080,1782509301.909049,179
25.086948,25.065605,0.78027374,0.67941236,379.0,50485240,312,29,42095,25086,1782509302.0051198,180
25.117949,25.104277,0.47320524,0.6802076,394.0,50706120,410,29,52238,25117,1782509302.2088108,182
25.076948,25.059927,0.6262098,0.6791558,371.0,50494840,423,29,36887,25076,1782509302.70383,187
25.09095,25.077291,0.47269678,0.67951494,384.0,50590740,407,29,45424,25090,1782509302.70383,187
25.068611,25.053106,0.7622118,0.44285753,443.0,50397810,455,30,16283,25068,1782509302.70383,187
25.07661,25.065308,0.6086687,0.44298735,404.0,50494840,464,30,58057,25076,1782509302.70383,187
25.084608,25.076567,0.45500463,0.4431172,369.0,50606040,492,30,36034,25084,1782509303.2062776,192
25.082611,25.071306,0.6088144,0.44308475,406.0,50519690,449,30,58875,25082,1782509303.3031762,193
25.08861,25.073093,0.76282007,0.44318214,423.0,50467400,471,30,4670,25088,1782509303.6045709,196
25.072947,25.051615,0.7798384,0.6790532,360.0,50413280,375,29,30164,25072,1782509304.3025713,203
25.108946,25.091906,0.6270086,0.6799767,374.0,50580370,434,29,39319,25108,1782509305.1035976,211
25.08661,25.075304,0.6089115,0.4431497,391.0,50464260,434,30,49608,25086,1782509305.7085497,217
25.122608,25.114555,0.45569426,0.443734,377.0,50650540,540,30,41530,25122,1782509306.0089562,220
25.08361,25.068098,0.762668,0.443101,376.0,50391640,452,30,40013,25083,1782509306.6040602,226
25.090609,25.082565,0.4551135,0.4432146,393.0,50629740,474,30,51352,25090,1782509307.1074586,231
25.084612,25.069098,0.7626984,0.4431172,413.0,50434690,420,30,63483,25084,1782509312.806742,288
