calculated_range,x,y,z,intensity,timestamp,cloud_index
25.035944,25.024563,-0.43742642,0.6151664,26.0,1782510558.4989076,7
25.04114,25.033438,-0.4374966,0.44076094,37.0,1782510558.5968347,8
25.031107,25.025434,-0.3554209,0.3969663,77.0,1782510558.5968347,8
25.031046,25.025757,-0.37397113,0.3533467,35.0,1782510558.5968347,8
25.025955,25.021229,-0.37497234,0.3096641,35.0,1782510558.5968347,8
25.03604,25.019587,-0.70492065,0.57154554,38.0,1782510558.5968347,8
25.026106,25.014526,-0.54857814,0.5277117,34.0,1782510558.5968347,8
25.02611,25.01735,-0.53001577,0.39688691,37.0,1782510558.696043,9
25.050943,25.039326,-0.38398322,0.65918076,34.0,1782510558.696043,9
25.025946,25.010906,-0.61187273,0.6149204,29.0,1782510558.696043,9
25.04114,25.027485,-0.6996174,0.44076094,37.0,1782510558.8997838,11
25.036104,25.022453,-0.63614655,0.52792287,39.0,1782510558.8997838,11
25.041138,25.030315,-0.55436844,0.48439544,36.0,1782510559.0035899,12
25.04114,25.034813,-0.35011098,0.44076094,43.0,1782510559.0035899,12
25.04114,25.031757,-0.52487695,0.44076094,34.0,1782510559.0035899,12
25.051046,25.045753,-0.3742678,0.35362944,33.0,1782510559.0035899,12
25.036045,25.029299,-0.46141672,0.3534174,33.0,1782510559.0035899,12
25.036045,25.027536,-0.5487824,0.3534174,33.0,1782510559.0035899,12
25.035954,25.029764,-0.46249372,0.30978802,35.0,1782510559.0035899,12
25.020945,25.00957,-0.4371621,0.6147973,25.0,1782510559.0035899,12
25.01114,24.997501,-0.6987799,0.44023216,36.0,1782510559.0955687,13
25.02111,25.008041,-0.704515,0.39680746,12.0,1782510559.0955687,13
25.015944,25.004341,-0.38345197,0.65825844,35.0,1782510559.0955687,13
25.010944,24.997854,-0.47063777,0.6581267,35.0,1782510559.0955687,13
25.025946,25.008617,-0.6991734,0.6149204,14.0,1782510559.199526,14
25.026043,25.015604,-0.44270435,0.5713169,34.0,1782510559.199526,14
25.00614,24.992504,-0.6986403,0.440144,37.0,1782510559.298774,15
25.02611,25.019045,-0.4426857,0.39688691,34.0,1782510559.298774,15
25.025946,25.01105,-0.558226,0.658522,35.0,1782510559.298774,15
25.020945,25.00789,-0.5244591,0.6147973,25.0,1782510559.298774,15
25.020943,25.006052,-0.5581152,0.6583902,36.0,1782510559.4028192,16
25.031038,25.01459,-0.7047793,0.5714312,38.0,1782510559.4028192,16
25.041105,25.032742,-0.37415695,0.5280284,75.0,1782510559.5068502,17
25.03611,25.025343,-0.6175854,0.39704573,39.0,1782510559.5969224,18
25.04111,25.02803,-0.7050768,0.39712512,13.0,1782510559.5969224,18
25.030954,25.026226,-0.3750465,0.30972606,35.0,1782510559.5969224,18
25.040943,25.02933,-0.38383144,0.65891725,35.0,1782510559.5969224,18
25.026043,25.013906,-0.5300224,0.5713169,36.0,1782510559.5969224,18
25.020943,25.007847,-0.4708244,0.6583902,35.0,1782510559.7008448,19
25.010944,24.99606,-0.55789363,0.6581267,36.0,1782510559.7008448,19
25.020947,25.005909,-0.61174977,0.6147973,28.0,1782510559.7008448,19
25.046041,25.035595,-0.44306028,0.5717742,33.0,1782510559.7008448,19
25.026043,25.011904,-0.617334,0.5713169,35.0,1782510559.7008448,19
25.02604,25.011856,-0.46546385,0.7021216,17.0,1782510559.801551,20
25.026035,25.010077,-0.55276865,0.7021216,17.0,1782510559.801551,20
25.010944,24.99396,-0.6451428,0.6581267,38.0,1782510559.801551,20
25.040943,25.030933,-0.35014236,0.61528945,43.0,1782510559.801551,20
25.046043,25.03699,-0.35566702,0.5717742,47.0,1782510559.801551,20
25.041138,25.033575,-0.3796118,0.48439544,38.0,1782510559.801551,20
25.025942,25.008947,-0.6455275,0.658522,39.0,1782510559.996904,22
25.021048,25.01576,-0.3738228,0.35320532,35.0,1782510560.19521,24
25.005941,24.98896,-0.6450146,0.6579949,39.0,1782510560.396655,26
25.026138,25.016764,-0.52456284,0.44049656,34.0,1782510560.495359,27
25.011036,24.996864,-0.46518648,0.7017002,17.0,1782510560.5975623,28
25.00611,24.99305,-0.7040936,0.39656925,30.0,1782510560.6983147,29
25.021048,25.014303,-0.46114185,0.35320532,33.0,1782510560.79959,30
25.015955,25.00977,-0.46212727,0.30954018,35.0,1782510560.79959,30
25.021109,25.010347,-0.61721635,0.39680746,38.0,1782510561.1045823,33
25.016047,25.005476,-0.63563544,0.35313466,38.0,1782510561.1045823,33
25.020943,25.010942,-0.3498597,0.6147973,43.0,1782510561.1045823,33
25.02114,25.010324,-0.5539253,0.48400798,39.0,1782510561.200817,34
25.02114,25.011765,-0.52445817,0.4404084,34.0,1782510561.200817,34
25.021109,25.012348,-0.52991015,0.39680746,37.0,1782510561.200817,34
25.016045,25.007542,-0.54834616,0.35313466,33.0,1782510561.200817,34
25.015944,24.998955,-0.645271,0.65825844,38.0,1782510561.30772,35
25.026043,25.016996,-0.3553809,0.5713169,43.0,1782510561.5970385,38
25.026041,25.009594,-0.704638,0.5713169,38.0,1782510561.5970385,38
25.026108,25.017748,-0.37393185,0.5277117,75.0,1782510561.5970385,38
25.04114,25.028229,-0.6417372,0.48439544,38.0,1782510561.6981194,39
25.036047,25.025469,-0.6361415,0.3534174,35.0,1782510561.6981194,39
25.035954,25.027998,-0.5498611,0.30978802,37.0,1782510561.6981194,39
25.035954,25.025925,-0.6372217,0.30978802,38.0,1782510561.6981194,39
25.03095,25.020926,-0.63709515,0.30972606,39.0,1782510562.4994426,47
25.041105,25.02952,-0.5489079,0.5280284,34.0,1782510562.4994426,47
25.04114,25.029772,-0.6122509,0.44076094,34.0,1782510563.0988233,53
25.040955,25.034763,-0.46258533,0.30984998,28.0,1782510563.0988233,53
25.04104,25.026894,-0.6177056,0.5716598,34.0,1782510564.1064577,63
25.046108,25.03774,-0.37423196,0.52813405,75.0,1782510564.397407,66
25.051107,25.045431,-0.3557036,0.39728394,74.0,1782510564.4983878,67
25.021105,25.007462,-0.6357644,0.52760607,38.0,1782510564.6949692,69
25.045952,25.041224,-0.37526903,0.30991194,35.0,1782510565.1975906,74
25.04114,25.032099,-0.466993,0.48439544,38.0,1782510565.7088797,79
25.040941,25.029558,-0.4375145,0.61528945,26.0,1782510566.3951163,86
25.04111,25.032343,-0.53033245,0.39712512,33.0,1782510567.000882,92
25.02114,25.00978,-0.61176234,0.4404084,38.0,1782510567.4973943,97
25.021137,25.01358,-0.37930816,0.48400798,38.0,1782510567.4973943,97
25.021141,25.014818,-0.34983176,0.4404084,45.0,1782510567.5985067,98
25.021109,25.015438,-0.35527954,0.39680746,77.0,1782510567.5985067,98
25.015944,25.002893,-0.52435356,0.6146743,25.0,1782510567.8964782,101
25.040945,25.023605,-0.6995946,0.61528945,15.0,1782510567.8964782,101
25.021105,25.009527,-0.5484682,0.52760607,34.0,1782510567.8964782,101
25.045954,25.039762,-0.46267694,0.30991194,28.0,1782510568.9017732,111
25.015944,24.998623,-0.6988925,0.6146743,15.0,1782510569.0972183,113
25.041046,25.034298,-0.46150833,0.3534881,32.0,1782510570.4973664,127
25.026108,25.01629,-0.4612578,0.5277117,34.0,1782510570.9975467,132
25.046041,25.033895,-0.5304481,0.5717742,36.0,1782510571.5977302,138
25.050953,25.046223,-0.37534317,0.3099739,35.0,1782510572.400821,146
25.051039,25.041985,-0.35573855,0.57188845,43.0,1782510573.3948684,156
25.021042,25.008905,-0.5299159,0.5712026,36.0,1782510573.3948684,156
25.046108,25.036283,-0.4616277,0.52813405,34.0,1782510573.4955254,157
25.015942,25.00285,-0.47073108,0.65825844,34.0,1782510574.9008222,171
25.02094,25.009336,-0.38352785,0.6583902,86.0,1782510575.7973492,180
25.011045,25.000479,-0.63550895,0.353064,38.0,1782510576.4969518,187
25.015945,25.004572,-0.43707398,0.6146743,26.0,1782510576.79574,190
25.020943,25.00395,-0.6453992,0.6583902,39.0,1782510576.8979256,191
25.041107,25.027452,-0.6362739,0.5280284,38.0,1782510578.5968075,208
25.041111,25.03034,-0.61770844,0.39712512,38.0,1782510579.2113323,214
25.011042,24.994606,-0.7042141,0.570974,37.0,1782510580.302836,225
25.046108,25.03904,-0.44303817,0.39720455,32.0,1782510583.3039765,255
25.046139,25.038435,-0.43758386,0.4408491,36.0,1782510586.3023808,285
